編號,行政區,門牌,交易日,建物型態,主要用途,樓層,總樓層,交易時屋齡,總價(萬),有車位,車位價(萬),車位(坪),車位可拆分,總坪,主建物(坪),附屬+陽台(坪),共有部分(坪),①扣車位建坪單價,②÷主建物,③÷主+附,含車位單價(僅參考),備註標記,備註原文,來源檔
RPTNMLKKMHLGFFA87DA,大安區,大安區復興南路一段342號十一樓之9,2026-02-09,住宅大樓,住家用,11,15,2.2,3566,無,,,是,22.993,13.5611,2.9252,6.5068,155.09,262.96,216.3,155.09,,,a_115S2.csv
RPTNMLNJLHLGFFA97DA,大安區,大安區仁愛路四段122巷63號十三樓,2026-02-07,住宅大樓,住家用,13,14,42.5,4428,無,,,是,43.1063,36.1125,1.936,5.0578,102.72,122.62,116.38,102.72,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPQNMLTKLHLGFDA18DA,信義區,信義區基隆路一段35巷11號六樓,2026-02-07,華廈,住家用,6,7,0.3,6980,有,430,12.3662,是,59.8224,28.2777,3.028,16.1505,138.02,231.63,209.23,116.68,,,a_115S2.csv
RPXNMLLKLHLGFFA28DA,大安區,大安區敦化南路二段81巷37號三樓,2026-02-06,華廈,住家用,3,7,45.3,5668,無,,,是,61.7161,50.0305,3.5393,8.1463,91.84,113.29,105.81,91.84,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPXOMLSJMHLGFDA88DA,信義區,信義區基隆路一段380巷36號五樓,2026-02-04,住宅大樓,住家用,5,12,42.4,1450,無,,,是,14.9707,9.4562,1.4066,4.108,96.86,153.34,133.48,96.86,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPRNMLKKMHLGFFA67DA,大安區,大安區復興南路一段342號四樓之5,2026-01-31,住宅大樓,住家用,4,15,2.2,6338,有,200,8.6787,是,48.7176,24.4087,4.2138,11.4164,153.3,251.47,214.45,130.1,其他備註,車位位於地下五層。交易總價：6338萬元整，其中土地價格：45982056元整，建物價格：17397944元整。,a_115S2.csv
RPQNMLQLKHLGFDA97EA,信義區,信義區光復南路473巷11弄11之2號五樓,2026-01-30,公寓,住家用,5,5,46.4,3000,無,,,是,34.3822,25.9031,4.6041,3.875,87.25,115.82,98.34,87.25,頂樓,,a_115S1.csv
RPQNMLPLLHLGFFA08DA,大安區,大安區忠孝東路四段208號九樓,2026-01-29,住宅大樓,住家用,9,12,53.2,5330,無,,,是,48.8507,48.8507,0,0,109.11,109.11,109.11,109.11,含增建/未登記,其他增建；,a_115S2.csv
RPWNMLTJMHLGFFA98DA,大安區,大安區安和路二段18號十一樓,2026-01-27,住宅大樓,住家用,11,12,42.7,4280,無,,,是,37.2075,30.6765,5.2756,1.2554,115.03,139.52,119.05,115.03,含增建/未登記,陽台外推；,a_115S2.csv
RPWNMLSLMHLGFFA09DA,大安區,大安區安和路一段112巷25號五樓,2026-01-26,華廈,住家用,5,7,43.3,5400,有,,,否,57.6263,49.3468,6.4886,1.7908,,,,93.71,含增建/未登記,其他增建；,a_115S2.csv
RPRNMLTKLHLGFFA48DA,大安區,大安區四維路192巷16號七樓,2026-01-25,住宅大樓,住家用,7,13,13,6928,有,400,0.72,是,56.6008,31.6929,5.9562,18.2317,116.82,205.98,173.39,122.4,含增建/未登記,塔式車位位於地上一樓。陽台外推；夾層；其他增建；,a_115S2.csv
RPSNMLRKLHLGFFA38DA,大安區,大安區復興南路一段259號九樓之3,2026-01-23,住宅大樓,住家用,9,14,47,4500,無,,,是,45.6291,33.7651,6.9484,4.9156,98.62,133.27,110.53,98.62,含增建/未登記,陽台外推；,a_115S2.csv
RPPNMLKLMHLGFFA57DA,大安區,大安區敦化南路二段146巷2號十二樓,2026-01-23,住宅大樓,住家用,12,19,40.8,2026,無,,,是,34.6635,20.8846,3.7147,10.0642,58.45,97.01,82.36,58.45,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S2.csv
RPQNMLPLKHLGFFA97DA,大安區,大安區安和路二段82號十樓,2026-01-21,住宅大樓,住家用,10,15,47,4600,無,,,是,48.3002,38.6958,2.9524,6.652,95.24,118.88,110.45,95.24,,,a_115S2.csv
RPUNMLRKMHLGFFA68DA,大安區,大安區忠孝東路四段126之20號,2026-01-21,住宅大樓,住家用,8,12,56.2,6800,無,,,是,65.2009,65.2009,0,0,104.29,104.29,104.29,104.29,,,a_115S2.csv
RPVNMLMKLHLGFDA97DA,信義區,信義區吳興街284巷20弄49號,2026-01-20,公寓,住家用,1,4,53.7,1990,無,,,是,22.2701,22.2701,0,0,89.36,89.36,89.36,89.36,一樓,,a_115S2.csv
RPWNMLSKLHLGFFA88DA,大安區,大安區四維路86之1號四樓,2026-01-19,公寓,住家用,4,5,49.2,2933,無,,,是,26.3931,26.3931,0,0,111.13,111.13,111.13,111.13,,,a_115S2.csv
RPPNMLPJLHLGFFA77DA,大安區,大安區光復南路688號九樓之2,2026-01-19,住宅大樓,住家用,9,14,8.7,4088,有,400,,否,45.2964,18.4102,4.117,22.7692,,,,90.25,,,a_115S1.csv
RPQNMLNLMHLGFDA87EA,信義區,信義區光復南路417巷217號二樓,2026-01-18,華廈,住家用,2,6,45.9,3000,無,,,是,36.5329,27.1131,8.4035,1.0164,82.12,110.65,84.47,82.12,,,a_115S2.csv
RPTNMLQJKHLGFFA18DA,大安區,大安區仁愛路四段417號九樓,2026-01-18,住宅大樓,住家用,9,14,43.9,5045,無,,,是,44.5431,31.8593,6.7881,5.8957,113.26,158.35,130.54,113.26,含增建/未登記,其他增建；,a_115S2.csv
RPOOMLOLLHLGFFA87DA,大安區,大安區通化街116號五樓,2026-01-16,公寓,住家用,5,5,48.3,918,無,,,是,12.6052,11.3559,1.2493,0,72.83,80.84,72.83,72.83,含增建/未登記、頂樓,陽台外推；其他增建；,a_115S2.csv
RPWNMLMJMHLGFFA28DA,大安區,大安區信義路四段96號十二樓之1,2026-01-14,住宅大樓,住家用,12,12,36.2,2600,無,,,是,27.4549,16.2261,5.3906,5.8383,94.7,160.24,120.28,94.7,含增建/未登記、頂樓,陽台外推；,a_115S2.csv
RPPNMLNLJHLGFFA57DA,大安區,大安區大安路一段19巷10號四樓,2026-01-12,華廈,住家用,4,7,49.3,3333,無,,,是,37.0351,37.0351,0,0,90,90,90,90,,,a_115S1.csv
RPUOMLOJKHLGFFA18DA,大安區,大安區復興南路一段342號七樓,2026-01-12,住宅大樓,住家用,7,15,2.2,4895,無,,,是,33.756,20.6184,3.5483,9.5893,145.01,237.41,202.55,145.01,,,a_115S1.csv
RPQNMLPJLHLGFFA87DA,大安區,大安區忠孝東路四段216巷31號三樓之2,2026-01-11,華廈,住家用,3,7,49.9,5350,無,,,是,52.7984,48.2548,0,4.5436,101.33,110.87,110.87,101.33,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPWQMLRLJHLGFDA78DA,信義區,信義區忠孝東路四段553巷16弄8之1號四樓,2026-01-10,華廈,住家用,4,7,49.7,2735,無,,,是,27.6606,24.4057,0,3.2549,98.88,112.06,112.06,98.88,含增建/未登記,其他增建；,a_115S1.csv
RPUNMLOLKHLGFDA08DA,信義區,信義區吳興街600巷100弄8號四樓,2026-01-10,公寓,住家用,4,4,49.2,1350,無,,,是,22.7329,22.7329,0,0,59.39,59.39,59.39,59.39,含增建/未登記、頂樓,陽台外推；其他增建；,a_115S1.csv
RPUNMLTJLHLGFDA48DA,信義區,信義區吳興街50巷19弄2號二樓,2026-01-09,公寓,住家用,2,4,48.9,3100,無,,,是,44.9364,39.8816,5.0548,0,68.99,77.73,68.99,68.99,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPSNMLNJOHLGFFA18DA,大安區,大安區信義路四段30巷18號十一樓之3,2026-01-09,住宅大樓,住家用,11,13,1.2,5200,無,,,是,34.6181,19.5143,3.6542,11.4496,150.21,266.47,224.44,150.21,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S2.csv
RPQNMLNJLHLGFFA67DA,大安區,大安區敦化南路一段233巷30號四樓,2026-01-08,華廈,住家用,4,7,49.1,2200,無,,,是,38.959,38.959,0,0,56.47,56.47,56.47,56.47,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S1.csv
RPPNMLNLLHLGFFA87EA,大安區,大安區仁愛路四段383號三樓,2026-01-06,住宅大樓,住家用,3,15,39.2,4580,無,,,是,64.3145,45.9437,9.078,9.2928,71.21,99.69,83.24,71.21,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S2.csv
RPSNMLMKJHLGFFA67DA,大安區,大安區基隆路二段190號八樓之7,2026-01-05,住宅大樓,住家用,8,12,44.1,1580,無,,,是,15.9297,12.0607,0.5899,3.2791,99.19,131,124.9,99.19,,,a_115S2.csv
RPXNMLNLKHLGFFA48DA,大安區,大安區基隆路二段190號八樓之1,2026-01-04,住宅大樓,住家用,8,12,44.1,3688,無,,,是,41.9144,28.193,5.1153,8.6061,87.99,130.81,110.72,87.99,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPPNMLMLKHLGFDA37DA,信義區,信義區基隆路二段13之1號八樓,2026-01-02,住宅大樓,住家用,8,12,40.2,3600,無,,,是,40.0056,30.9972,4.7977,4.2108,89.99,116.14,100.57,89.99,,,a_115S1.csv
RPWNMLLLJHLGFFA08DA,大安區,大安區敦化南路二段146巷2號六樓,2025-12-31,住宅大樓,住家用,6,19,40.7,3180,無,,,是,34.6635,20.8846,3.7147,10.0642,91.74,152.27,129.27,91.74,,,a_115S1.csv
RPQPMLQKJHLGFFA08DA,大安區,大安區安和路一段112巷10號二樓,2025-12-31,華廈,住家用,2,6,40.2,4433,無,,,是,45.248,36.058,5.5721,3.6179,97.97,122.94,106.49,97.97,,,a_115S2.csv
RPXNMLNJKHLGFDA08DA,信義區,信義區吳興街524巷3號三樓,2025-12-30,華廈,住家用,3,7,34.5,2600,無,,,是,38.3661,31.5598,4.1806,2.6257,67.77,82.38,72.75,67.77,其他備註,包含公共設施保留地用地；,a_115S2.csv
RPPNMLKLJHLGFFA27DA,大安區,大安區通化街57巷6號六樓,2025-12-29,華廈,商業用,6,8,26.3,800,無,,,是,50.4661,30.8822,3.8629,15.7209,15.85,25.9,23.02,15.85,其他備註,建物坐落地號：通化段二小段388地號；,a_115S1.csv
RPVNMLLKKHLGFDA77DA,信義區,信義區基隆路二段149號六樓之5,2025-12-28,住宅大樓,住家用,6,15,11.2,3240,有,220,4.2048,是,32.7063,16.1081,3.6058,8.7876,105.96,187.48,153.19,99.06,其他備註,塔式車位位於地下四層,a_115S1.csv
RPTNMLTLJHLGFFA58DA,大安區,大安區復興南路二段171巷20號五樓,2025-12-27,住宅大樓,住家用,5,19,40.6,3818,無,,,是,38.9832,29.285,3.2882,6.41,97.94,130.37,117.21,97.94,,,a_115S2.csv
RPSNMLQJKHLGFFA18EA,大安區,大安區和平東路三段1巷26弄7號九樓,2025-12-27,住宅大樓,住家用,9,15,40.6,2600,無,,,是,31.3178,22.7268,2.6106,5.9804,83.02,114.4,102.62,83.02,,,a_115S1.csv
RPUNMLNLKIKGFFA18DA,大安區,大安區敦化南路二段144號五樓,2025-12-23,華廈,住家用,5,7,41.4,2424,無,,,是,22.6542,14.9677,1.8937,5.7929,107,161.95,143.76,107,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S1.csv
RPQNMLTLJHLGFFA28DA,大安區,大安區安和路一段32號四樓之3,2025-12-23,住宅大樓,住家用,4,12,48.7,4700,無,,,是,50.1364,36.9867,3.1521,9.9976,93.74,127.07,117.09,93.74,含增建/未登記,陽台外推；,a_115S1.csv
RPVOMLQJJHLGFDA28EA,信義區,信義區吳興街600巷76弄85號,2025-12-22,公寓,住家用,1,5,44,1545,無,,,是,25.1075,23.0989,2.0086,0,61.54,66.89,61.54,61.54,一樓,,a_115S1.csv
RPOOMLLLJHLGFFA37DA,大安區,大安區復興南路一段107巷5弄25號四樓,2025-12-21,華廈,住家用,4,7,45,2980,無,,,是,29.4665,21.8072,4.0172,3.6421,101.13,136.65,115.39,101.13,,,a_115S1.csv
RPRPMLQKJHLGFFA18DA,大安區,大安區信義路四段265巷46號三樓之5,2025-12-21,華廈,住家用,3,7,46,2313,無,,,是,20.3734,14.88,2.9282,2.5652,113.53,155.44,129.88,113.53,含增建/未登記,陽台外推；,a_115S2.csv
RPPNMLSLJHLGFFA08DA,大安區,大安區忠孝東路四段216巷25號五樓之2,2025-12-19,華廈,住家用,5,7,49.8,6148,無,,,是,63.8124,63.8124,0,0,96.34,96.34,96.34,96.34,含增建/未登記,陽台外推；,a_115S1.csv
RPRNMLPJKHLGFFA87DA,大安區,大安區安和路二段70號十一樓之5,2025-12-19,住宅大樓,住家用,11,12,43.8,5450,無,,,是,51.2344,37.3678,5.5479,8.3188,106.37,145.85,126.99,106.37,,,a_115S1.csv
RPTQMLOJKHLGFFA28DA,大安區,大安區安和路一段106號二樓,2025-12-19,住宅大樓,住家用,2,12,48.3,7600,無,,,是,54.2473,43.9563,4.7916,5.4995,140.1,172.9,155.9,140.1,含增建/未登記,陽台外推；,a_115S1.csv
RPRNMLSKKIKGFFA28DA,大安區,大安區復興南路一段132號十樓之1,2025-12-15,住宅大樓,住家用,10,15,1.7,2100,無,,,是,12.7413,7.8983,0,4.843,164.82,265.88,265.88,164.82,,,a_115S1.csv
RPPNMLRLJHLGFFA08EA,大安區,大安區忠孝東路四段223巷10弄10號三樓,2025-12-14,華廈,住家用,3,7,49.7,2850,無,,,是,25.7307,25.7307,0,0,110.76,110.76,110.76,110.76,,,a_115S1.csv
RPTNMLPJLHLGFFA18DA,大安區,大安區復興南路一段342號十三樓之3,2025-12-14,住宅大樓,住家用,13,15,2.1,6030,有,,10.3364,否,46.5064,23.5436,2.5803,10.046,,,,129.66,,,a_115S1.csv
RPPNMLSLMHLGFFA48EA,大安區,大安區敦化南路二段38號九樓之1,2025-12-12,住宅大樓,住家用,9,22,37.8,7088,無,,,是,61.6193,46.1736,7.8348,7.6109,115.03,153.51,131.24,115.03,,,a_115S2.csv
RPPNMLQJJHLGFDA57EA,信義區,信義區信義路四段401號九樓,2025-12-12,住宅大樓,住家用,9,11,35.4,4500,無,,,是,47.8827,37.7127,6.9363,3.2337,93.98,119.32,100.79,93.98,,,a_115S1.csv
RPRNMLTLKIKGFFA48DA,大安區,大安區復興南路一段342號十三樓之5,2025-12-12,住宅大樓,住家用,13,15,2.1,6088,有,400,11.4073,是,49.8248,22.4788,5.5509,10.3879,148.06,253.04,202.93,122.19,,,a_115S1.csv
RPRNMLMKKIKGFDA47DA,信義區,信義區忠孝東路四段553巷16弄1之4號四樓,2025-12-11,華廈,住家用,4,7,49.6,410,無,,,是,9.7254,9.4955,0,0.2299,42.16,43.18,43.18,42.16,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S1.csv
RPRNMLOLKIKGFFA97DA,大安區,大安區仁愛路四段33號十一樓之1,2025-12-10,住宅大樓,住家用,11,12,49.1,7508,有,400,7.8015,是,74.1004,62.0246,3.0916,1.1828,107.21,114.6,109.16,101.32,含增建/未登記,土地價格:70834812元整，建物價格:4245188元整。陽台外推；,a_115S1.csv
RPTNMLOLKIKGFFA18DA,大安區,大安區仁愛路四段266巷15弄8號七樓,2025-12-09,華廈,住家用,7,7,45.2,4800,無,,,是,39.449,31.8502,6.5068,1.092,121.68,150.71,125.14,121.68,含增建/未登記、頂樓,陽台外推；頂樓加蓋；其他增建；,a_115S1.csv
RPOOMLKMKIKGFFA47DA,大安區,大安區仁愛路四段50之96號,2025-12-09,住宅大樓,住家用,12,12,54.7,3388,無,,,是,16.5165,16.5165,0,0,205.13,205.13,205.13,205.13,含增建/未登記、頂樓,陽台外推；,a_115S2.csv
RPPNMLLKJHLGFFA27DA,大安區,大安區復興南路一段253巷8號十二樓之1,2025-12-07,住宅大樓,住家用,12,14,46.9,5168,無,,,是,45.127,34.8813,5.2121,5.0336,114.52,148.16,128.9,114.52,含增建/未登記,陽台外推；,a_115S1.csv
RPQNMLMLJHLGFDA37DA,信義區,信義區吳興街440號三樓,2025-12-05,華廈,住家用,3,6,36.5,1188,無,,,是,15.5818,8.0556,1.809,5.7173,76.24,147.48,120.43,76.24,含增建/未登記,陽台外推；,a_115S1.csv
RPPNMLKKKIKGFFA27DA,大安區,大安區仁愛路四段122巷14號五樓之2,2025-12-05,華廈,住家用,5,7,43.1,2380,無,,,是,22.7692,15.2884,2.0721,5.4087,104.53,155.67,137.09,104.53,含增建/未登記,陽台外推；其他增建；,a_115S1.csv
RPPNMLQKKIKGFFA87DA,大安區,大安區信義路四段263號五樓之3,2025-12-04,住宅大樓,住家用,5,14,48.6,2750,無,,,是,25.2799,24.3543,0.9257,0,108.78,112.92,108.78,108.78,其他備註,土地價款:2200萬元；建物價款:550萬元,a_115S1.csv
RPVNMLNKKHLGFDA97DA,信義區,信義區基隆路一段380巷4號六樓之1,2025-12-04,住宅大樓,住家用,6,12,42.2,2810,無,,,是,33.3083,21.9373,3.9234,7.4476,84.36,128.09,108.66,84.36,含增建/未登記,陽台外推；,a_115S1.csv
RPUNMLNJKIKGFFA97DA,大安區,大安區安和路二段5號七樓之2,2025-12-03,住宅大樓,住家用,7,12,44.2,2500,無,,,是,22.4213,16.9733,0,5.448,111.5,147.29,147.29,111.5,,,a_115S1.csv
RPQNMLOLJHLGFFA77DA,大安區,大安區大安路一段230號六樓,2025-12-02,華廈,住家用,6,7,40.3,5588,無,,,是,42.2562,34.7361,4.1775,3.3426,132.24,160.87,143.6,132.24,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPOQMLMJLHLGFDA47DA,信義區,信義區吳興街156巷40弄4號二樓,2025-12-01,公寓,住家用,2,4,50.8,2100,無,,,是,28.6831,28.6831,0,0,73.21,73.21,73.21,73.21,含增建/未登記,陽台外推；其他增建；,a_115S2.csv
RPWNMLOLKIKGFFA48DA,大安區,大安區仁愛路四段266巷15弄22號七樓,2025-11-30,華廈,住家用,7,7,45.2,4000,無,,,是,39.2343,30.8822,6.1256,2.2264,101.95,129.52,108.09,101.95,含增建/未登記、頂樓,陽台外推；頂樓加蓋；其他增建；,a_115S1.csv
RPSNMLNKJHLGFFA77DA,大安區,大安區通化街171巷17號五樓,2025-11-30,華廈,住家用,5,7,41.6,2780,無,,,是,32.5914,25.7155,3.9083,2.9675,85.3,108.11,93.84,85.3,含增建/未登記,餐廳外部懸空增建。陽台外推；,a_115S1.csv
RPRNMLKMKIKGFDA47DA,信義區,信義區光復南路567號八樓之11,2025-11-30,住宅大樓,住家用,8,18,17.2,1688,無,,,是,13.0045,7.8499,0.5838,4.5708,129.8,215.04,200.15,129.8,含增建/未登記,陽台外推；夾層；,a_115S1.csv
RPPNMLSKKIKGFFA18EA,大安區,大安區樂業街110號二樓,2025-11-28,公寓,住家用,2,5,44.7,150,無,,,是,31.2362,21.3384,4.1412,5.7566,4.8,7.03,5.89,4.8,特殊關係,建物坐落地號：辛亥段四小段132地號；親友、員工、共有人或其他特殊關係間之交易；,a_115S1.csv
